# FORPRINT: Thu Feb 23 22:02:41 2017
#  lam[um]   F2/F1    F2/F1err-  F2/F1err+
   0.73400   0.06008  -0.00840   0.00958
   0.73500   0.06018  -0.00833   0.00955
   0.73600   0.06075  -0.00828   0.00950
   0.73700   0.06132  -0.00823   0.00946
   0.73800   0.06146  -0.00808   0.00933
   0.73900   0.06161  -0.00793   0.00920
   0.74000   0.06176  -0.00781   0.00912
   0.74100   0.06191  -0.00768   0.00904
   0.74200   0.06210  -0.00777   0.00913
   0.74300   0.06229  -0.00786   0.00922
   0.74400   0.06216  -0.00785   0.00924
   0.74500   0.06203  -0.00784   0.00926
   0.74600   0.06224  -0.00781   0.00924
   0.74700   0.06245  -0.00777   0.00923
   0.74800   0.06255  -0.00772   0.00919
   0.74900   0.06265  -0.00767   0.00914
   0.75000   0.06292  -0.00765   0.00912
   0.75100   0.06319  -0.00763   0.00910
   0.75200   0.06345  -0.00765   0.00912
   0.75300   0.06371  -0.00767   0.00914
   0.75400   0.06382  -0.00769   0.00915
   0.75500   0.06394  -0.00770   0.00915
   0.75600   0.06403  -0.00765   0.00911
   0.75700   0.06412  -0.00760   0.00907
   0.75800   0.06405  -0.00759   0.00908
   0.75900   0.06397  -0.00758   0.00909
   0.76000   0.06412  -0.00763   0.00910
   0.76100   0.06428  -0.00768   0.00911
   0.76200   0.06438  -0.00785   0.00917
   0.76300   0.06448  -0.00801   0.00923
   0.76400   0.06454  -0.00821   0.00934
   0.76500   0.06460  -0.00840   0.00944
   0.76600   0.06348  -0.00854   0.00959
   0.76700   0.06234  -0.00868   0.00973
   0.76800   0.06353  -0.00881   0.00973
   0.76900   0.06470  -0.00894   0.00972
   0.77000   0.06415  -0.00892   0.00976
   0.77100   0.06360  -0.00891   0.00980
   0.77200   0.06418  -0.00887   0.00969
   0.77300   0.06476  -0.00883   0.00958
   0.77400   0.06475  -0.00878   0.00955
   0.77500   0.06473  -0.00873   0.00953
   0.77600   0.06546  -0.00894   0.00968
   0.77700   0.06619  -0.00915   0.00983
   0.77800   0.06591  -0.00896   0.00971
   0.77900   0.06563  -0.00878   0.00960
   0.78000   0.06578  -0.00877   0.00959
   0.78100   0.06593  -0.00877   0.00958
   0.78200   0.06582  -0.00874   0.00956
   0.78300   0.06571  -0.00870   0.00954
   0.78400   0.06585  -0.00879   0.00958
   0.78500   0.06598  -0.00887   0.00962
   0.78600   0.06637  -0.00876   0.00955
   0.78700   0.06676  -0.00865   0.00948
   0.78800   0.06667  -0.00863   0.00945
   0.78900   0.06658  -0.00862   0.00941
   0.79000   0.06642  -0.00853   0.00933
   0.79100   0.06626  -0.00843   0.00926
   0.79200   0.06657  -0.00832   0.00917
   0.79300   0.06688  -0.00820   0.00908
   0.79400   0.06646  -0.00811   0.00906
   0.79500   0.06605  -0.00803   0.00904
   0.79600   0.06677  -0.00812   0.00910
   0.79700   0.06748  -0.00820   0.00916
   0.79800   0.06740  -0.00814   0.00916
   0.79900   0.06732  -0.00808   0.00916
   0.80000   0.06754  -0.00795   0.00907
   0.80100   0.06776  -0.00782   0.00897
