alpha,Lambda,FpoFs
#alpha=-180
-140,0.6771, 0.000024891600
-140,0.6574, 0.000020513586
-140,0.6424, 0.000017893848
-140,0.6280, 0.000017730514
-140,0.6165, 0.000015510597
-140,0.6044, 0.000013154201
-140,0.5909, 0.000013285618
-140,0.5784, 0.000010305909
-140,0.5654, 0.000010368142
-140,0.5519, 0.000009027385
-140,0.5369, 0.000007358587
-140,0.5235, 0.000007969842
-140,0.5064, 0.000006790510
-140,0.4849, 0.000004583275
-140,0.4648, 0.000003286001
-140,0.4448, 0.000002781542
-140,0.4258, 0.000002821952
-140,0.4083, 0.000003276180
-140,0.3871, 0.000005617235
-140,0.3621, 0.000006792754
-140,0.3370, 0.000004999219
-140,0.3120, 0.000003377956
-140,0.2870, 0.000001878469
-140,0.2679, 0.000007593997


#alpha=-120
-120,227.5313, 0.005334947783
-120,138.7925, 0.004942335693
-120,97.7517, 0.004709801255
-120,73.6920, 0.004511521062
-120,53.8793, 0.004357277393
-120,42.2119, 0.004194258178
-120,35.7526, 0.004135847767
-120,29.7000, 0.004072922587
-120,24.8385, 0.003973666581
-120,21.3950, 0.003873574654
-120,19.3817, 0.003853133650
-120,18.1802, 0.003812139653
-120,16.9779, 0.003779609822
-120,15.7766, 0.003744066139
-120,14.5751, 0.003693273456
-120,13.5879, 0.003669534754
-120,12.7869, 0.003655935885
-120,11.9861, 0.003636030352
-120,11.2918, 0.003620877409
-120,10.6918, 0.003577954861
-120,10.0913, 0.003525018354
-120,9.6479, 0.003451454195
-120,9.3475, 0.003357836529
-120,8.9952, 0.003253401543
-120,8.6730, 0.003139696914
-120,8.3452, 0.003023787151
-120,8.0743, 0.002961385032
-120,7.9039, 0.002903367143
-120,7.7140, 0.002875794413
-120,7.4982, 0.002855105691
-120,7.2839, 0.002799198854
-120,7.0937, 0.002762869464
-120,6.8726, 0.002702541762
-120,6.6638, 0.002620245306
-120,6.5153, 0.002636941078
-120,6.2974, 0.002767111682
-120,6.0639, 0.002677266867
-120,5.8990, 0.002578630304
-120,5.7594, 0.002544356741
-120,5.5721, 0.002503686791
-120,5.3791, 0.002477684256
-120,5.2647, 0.002458259361
-120,5.1491, 0.002424793551
-120,4.9998, 0.002380338646
-120,4.8816, 0.002358816535
-120,4.8274, 0.002324224957
-120,4.7964, 0.002345206807
-120,4.7498, 0.002345423585
-120,4.6999, 0.002335926473
-120,4.6623, 0.002343441629
-120,4.6050, 0.002295430396
-120,4.5041, 0.002270349775
-120,4.3952, 0.002259336326
-120,4.3007, 0.002236534375
-120,4.2019, 0.002255889943
-120,4.0737, 0.002308865058
-120,3.9494, 0.002375782179
-120,3.8493, 0.002319805181
-120,3.7493, 0.002218786945
-120,3.6621, 0.002078084024
-120,3.5871, 0.001972954783
-120,3.5131, 0.001881254269
-120,3.4381, 0.001806152108
-120,3.3634, 0.001719426010
-120,3.3078, 0.001689339383
-120,3.2691, 0.001641774112
-120,3.2309, 0.001578070265
-120,3.1934, 0.001539637940
-120,3.1559, 0.001504004604
-120,3.1184, 0.001483572842
-120,3.0848, 0.001443399583
-120,3.0548, 0.001432026821
-120,3.0145, 0.001386730792
-120,2.9647, 0.001337844168
-120,2.9086, 0.001301822368
-120,2.8468, 0.001265646238
-120,2.7875, 0.001231768974
-120,2.7304, 0.001205645117
-120,2.6756, 0.001202407330
-120,2.6230, 0.001189366943
-120,2.5736, 0.001134442998
-120,2.5272, 0.001116530312
-120,2.4816, 0.001140859280
-120,2.4368, 0.001174289824
-120,2.3942, 0.001207362519
-120,2.3536, 0.001209141632
-120,2.3143, 0.001211326206
-120,2.2765, 0.001227937081
-120,2.2400, 0.001198961698
-120,2.2089, 0.001162355173
-120,2.1828, 0.001139091245
-120,2.1625, 0.001148433595
-120,2.1477, 0.001074707894
-120,2.1365, 0.001065282581
-120,2.1288, 0.001037836280
-120,2.1136, 0.001013022698
-120,2.0911, 0.000967086125
-120,2.0698, 0.000928578769
-120,2.0498, 0.000889917382
-120,2.0298, 0.000871809169
-120,2.0098, 0.000829618441
-120,1.9820, 0.000818047212
-120,1.9470, 0.000813082445
-120,1.9163, 0.000775978462
-120,1.8894, 0.000759950454
-120,1.8631, 0.000716558990
-120,1.8374, 0.000706269773
-120,1.8123, 0.000716058976
-120,1.7884, 0.000705495959
-120,1.7656, 0.000721466893
-120,1.7405, 0.000769365585
-120,1.7133, 0.000767412017
-120,1.6915, 0.000782478129
-120,1.6749, 0.000793593120
-120,1.6598, 0.000745989962
-120,1.6461, 0.000743349409
-120,1.6274, 0.000702815046
-120,1.6040, 0.000675197667
-120,1.5837, 0.000663724039
-120,1.5672, 0.000620855854
-120,1.5523, 0.000593442099
-120,1.5376, 0.000565404928
-120,1.5226, 0.000546220034
-120,1.5060, 0.000536148029
-120,1.4881, 0.000502718426
-120,1.4706, 0.000485901284
-120,1.4524, 0.000476112932
-120,1.4337, 0.000452479305
-120,1.4159, 0.000443320503
-120,1.4001, 0.000449709631
-120,1.3865, 0.000451146364
-120,1.3741, 0.000442074527
-120,1.3583, 0.000436546439
-120,1.3393, 0.000456305949
-120,1.3185, 0.000551646933
-120,1.2960, 0.000544508475
-120,1.2761, 0.000539733203
-120,1.2586, 0.000494905704
-120,1.2411, 0.000486893636
-120,1.2236, 0.000484306552
-120,1.2061, 0.000453313775
-120,1.1886, 0.000425498432
-120,1.1692, 0.000405865663
-120,1.1482, 0.000387655566
-120,1.1256, 0.000373023024
-120,1.1016, 0.000364005386
-120,1.0802, 0.000374447337
-120,1.0613, 0.000329252608
-120,1.0396, 0.000303963490
-120,1.0156, 0.000280062142
-120,0.9960, 0.000257310229
-120,0.9804, 0.000246538914
-120,0.9628, 0.000237067470
-120,0.9439, 0.000204439115
-120,0.9315, 0.000182950727
-120,0.9189, 0.000204927347
-120,0.9040, 0.000191865524
-120,0.8915, 0.000165998441
-120,0.8774, 0.000166481620
-120,0.8655, 0.000148348731
-120,0.8522, 0.000130400608
-120,0.8341, 0.000133343225
-120,0.8223, 0.000130091390
-120,0.8097, 0.000120142356
-120,0.7924, 0.000100959165
-120,0.7774, 0.000094145548
-120,0.7650, 0.000087795908
-120,0.7524, 0.000091306252
-120,0.7390, 0.000083893851
-120,0.7288, 0.000076677588
-120,0.7143, 0.000076787099
-120,0.6969, 0.000063696436
-120,0.6771, 0.000062450367
-120,0.6574, 0.000052926016
-120,0.6424, 0.000046556384
-120,0.6280, 0.000045965943
-120,0.6165, 0.000040961042
-120,0.6044, 0.000035336081
-120,0.5909, 0.000035288441
-120,0.5784, 0.000028426839
-120,0.5654, 0.000028211102
-120,0.5519, 0.000024863583
-120,0.5369, 0.000020840835
-120,0.5235, 0.000021948433
-120,0.5064, 0.000018619624
-120,0.4849, 0.000012991604
-120,0.4648, 0.000009642979
-120,0.4448, 0.000008296896
-120,0.4258, 0.000007850896
-120,0.4083, 0.000007741266
-120,0.3871, 0.000011975120
-120,0.3621, 0.000014485562
-120,0.3370, 0.000010910035
-120,0.3120, 0.000007551152
-120,0.2870, 0.000004619845
-120,0.2679, 0.000019993711


#alpha=-100
-100,227.5313, 0.006053258547
-100,138.7925, 0.005646079791
-100,97.7517, 0.005406979294
-100,73.6920, 0.005220714664
-100,53.8793, 0.005077437303
-100,42.2119, 0.004916455177
-100,35.7526, 0.004859163883
-100,29.7000, 0.004780352316
-100,24.8385, 0.004671479339
-100,21.3950, 0.004572071358
-100,19.3817, 0.004567300651
-100,18.1802, 0.004523772384
-100,16.9779, 0.004482617580
-100,15.7766, 0.004434135567
-100,14.5751, 0.004373825717
-100,13.5879, 0.004333980357
