# FORPRINT: Tue Nov 29 08:32:13 2016
# lambda[um]  F1       F2
   0.35700  7.91e-11  3.73e-13
   0.35800  7.78e-11  3.76e-13
   0.35900  7.65e-11  3.80e-13
   0.36000  8.07e-11  4.92e-13
   0.36100  8.49e-11  6.04e-13
   0.36200  8.53e-11  6.72e-13
   0.36300  8.58e-11  7.40e-13
   0.36400  8.77e-11  8.59e-13
   0.36500  9.77e-11  1.09e-12
   0.36600  9.79e-11  1.23e-12
   0.36700  9.82e-11  1.36e-12
   0.36800  9.55e-11  1.16e-12
   0.36900  9.28e-11  9.63e-13
   0.37000  9.60e-11  8.81e-13
   0.37100  9.93e-11  7.99e-13
   0.37200  9.25e-11  5.74e-13
   0.37300  8.58e-11  3.48e-13
   0.37400  9.04e-11  3.92e-13
   0.37500  9.51e-11  4.37e-13
   0.37600  1.02e-10  7.24e-13
   0.37700  1.08e-10  1.01e-12
   0.37800  1.12e-10  1.07e-12
   0.37900  1.15e-10  1.12e-12
   0.38000  1.18e-10  1.03e-12
   0.38100  1.21e-10  9.38e-13
   0.38200  1.02e-10  6.60e-13
   0.38300  8.28e-11  3.82e-13
   0.38400  1.00e-10  5.34e-13
   0.38500  1.17e-10  6.86e-13
   0.38600  1.17e-10  6.57e-13
   0.38700  1.18e-10  6.28e-13
   0.38800  1.15e-10  7.12e-13
   0.38900  1.13e-10  7.96e-13
   0.39000  1.21e-10  1.01e-12
   0.39100  1.28e-10  1.23e-12
   0.39200  1.00e-10  8.55e-13
   0.39300  7.20e-11  4.80e-13
   0.39400  9.33e-11  7.74e-13
   0.39500  1.15e-10  1.07e-12
   0.39600  9.81e-11  8.94e-13
   0.39700  8.15e-11  7.19e-13
   0.39800  1.14e-10  1.46e-12
   0.39900  1.47e-10  2.21e-12
   0.40000  1.51e-10  2.42e-12
   0.40100  1.55e-10  2.63e-12
   0.40200  1.57e-10  2.48e-12
   0.40300  1.59e-10  2.32e-12
   0.40400  1.57e-10  2.29e-12
   0.40500  1.55e-10  2.26e-12
   0.40600  1.54e-10  2.11e-12
   0.40700  1.53e-10  1.96e-12
   0.40800  1.58e-10  2.56e-12
   0.40900  1.63e-10  3.17e-12
   0.41000  1.58e-10  2.80e-12
   0.41100  1.53e-10  2.43e-12
   0.41200  1.60e-10  2.47e-12
   0.41300  1.67e-10  2.52e-12
   0.41400  1.69e-10  2.43e-12
   0.41500  1.71e-10  2.35e-12
   0.41600  1.71e-10  2.43e-12
   0.41700  1.72e-10  2.51e-12
   0.41800  1.70e-10  2.51e-12
   0.41900  1.68e-10  2.50e-12
   0.42000  1.68e-10  2.41e-12
   0.42100  1.68e-10  2.32e-12
   0.42200  1.66e-10  1.98e-12
   0.42300  1.63e-10  1.63e-12
   0.42400  1.65e-10  2.01e-12
   0.42500  1.66e-10  2.38e-12
   0.42600  1.63e-10  2.30e-12
   0.42700  1.60e-10  2.23e-12
   0.42800  1.56e-10  2.23e-12
   0.42900  1.52e-10  2.24e-12
   0.43000  1.42e-10  2.21e-12
   0.43100  1.32e-10  2.17e-12
   0.43200  1.50e-10  2.81e-12
   0.43300  1.68e-10  3.44e-12
   0.43400  1.63e-10  3.63e-12
   0.43500  1.59e-10  3.81e-12
   0.43600  1.71e-10  3.94e-12
   0.43700  1.82e-10  4.06e-12
   0.43800  1.77e-10  3.67e-12
   0.43900  1.72e-10  3.28e-12
   0.44000  1.76e-10  3.36e-12
   0.44100  1.80e-10  3.44e-12
   0.44200  1.83e-10  3.69e-12
   0.44300  1.87e-10  3.95e-12
   0.44400  1.86e-10  4.03e-12
   0.44500  1.86e-10  4.12e-12
   0.44600  1.89e-10  4.41e-12
   0.44700  1.92e-10  4.70e-12
   0.44800  1.93e-10  4.81e-12
   0.44900  1.93e-10  4.92e-12
   0.45000  2.01e-10  5.48e-12
   0.45100  2.08e-10  6.03e-12
   0.45200  2.01e-10  5.43e-12
   0.45300  1.94e-10  4.83e-12
   0.45400  1.97e-10  5.15e-12
   0.45500  1.99e-10  5.47e-12
   0.45600  2.04e-10  5.75e-12
   0.45700  2.10e-10  6.04e-12
   0.45800  2.05e-10  5.89e-12
   0.45900  2.01e-10  5.74e-12
   0.46000  2.03e-10  5.83e-12
   0.46100  2.06e-10  5.93e-12
   0.46200  2.05e-10  5.94e-12
   0.46300  2.03e-10  5.96e-12
   0.46400  2.05e-10  5.90e-12
   0.46500  2.06e-10  5.85e-12
   0.46600  2.09e-10  6.14e-12
   0.46700  2.11e-10  6.44e-12
   0.46800  2.10e-10  6.34e-12
   0.46900  2.09e-10  6.24e-12
   0.47000  2.06e-10  6.08e-12
   0.47100  2.03e-10  5.93e-12
   0.47200  2.08e-10  5.96e-12
   0.47300  2.12e-10  5.99e-12
   0.47400  2.13e-10  5.97e-12
   0.47500  2.15e-10  5.95e-12
   0.47600  2.15e-10  5.76e-12
   0.47700  2.15e-10  5.57e-12
   0.47800  2.15e-10  5.72e-12
   0.47900  2.15e-10  5.88e-12
   0.48000  2.15e-10  6.23e-12
   0.48100  2.15e-10  6.58e-12
   0.48200  2.16e-10  6.62e-12
   0.48300  2.17e-10  6.66e-12
   0.48400  2.10e-10  6.70e-12
   0.48500  2.03e-10  6.75e-12
   0.48600  1.91e-10  6.45e-12
   0.48700  1.79e-10  6.16e-12
   0.48800  1.94e-10  6.35e-12
   0.48900  2.10e-10  6.54e-12
   0.49000  2.11e-10  6.57e-12
   0.49100  2.11e-10  6.60e-12
   0.49200  2.10e-10  6.37e-12
   0.49300  2.09e-10  6.14e-12
   0.49400  2.12e-10  6.24e-12
   0.49500  2.16e-10  6.33e-12
   0.49600  2.18e-10  6.26e-12
   0.49700  2.19e-10  6.19e-12
   0.49800  2.14e-10  5.86e-12
