      lambda       flux         err
      9979.68      127807.      2011.78
      9982.44      125760.      2188.25
      9985.20      124168.      1394.63
      9987.97      129365.      2957.00
      9990.73      132579.      2592.55
      9993.49      130165.      2569.02
      9996.26      128110.      1218.88
      9999.02      130989.      1858.27
      10001.8      135230.      1381.37
      10004.5      135904.      872.453
      10007.3      137644.      2318.03
      10010.1      132504.      3500.45
      10012.8      131439.      2201.67
      10015.6      130124.      1697.25
      10018.4      131751.      901.777
      10021.1      133768.      2529.76
      10023.9      132746.      568.262
      10026.7      132702.      622.813
      10029.4      133967.      744.178
      10032.2      133849.      2305.00
      10034.9      133087.      1243.92
      10037.7      130227.      1236.29
      10040.5      129718.      571.480
      10043.2      132352.      1970.65
      10046.0      134692.      1202.26
      10048.8      134379.      1779.53
      10051.5      132291.      1963.84
      10054.3      128621.      2315.36
      10057.0      126560.      2769.67
      10059.8      127081.      1840.74
      10062.6      129618.      3145.36
      10065.3      131736.      2248.48
      10068.1      134380.      1755.65
      10070.9      138335.      871.322
      10073.6      138727.      2736.17
      10076.4      138300.      2546.03
      10079.2      138909.      2009.01
      10081.9      136529.      1234.62
      10084.7      142434.      2626.92
      10087.4      141208.      3212.22
      10090.2      142739.      2597.07
      10093.0      145356.      2183.46
      10095.7      144124.      1679.29
      10098.5      147403.      2394.30
      10101.3      148246.      2046.68
      10104.0      148886.      737.127
      10106.8      147759.      1596.34
      10109.6      143114.      669.165
      10112.3      140830.      2084.48
      10115.1      143547.      4309.80
      10117.8      142141.      452.769
      10120.6      144200.      2202.72
      10123.4      148051.      3148.84
      10126.1      148598.      2288.71
      10128.9      147506.      1906.38
      10131.7      147233.      1947.13
      10134.4      144995.      1792.66
      10137.2      141030.      2621.45
      10139.9      141922.      1999.69
      10142.7      137322.      1429.23
      10145.5      137723.      2259.10
      10148.2      137783.      503.768
      10151.0      137147.      1236.46
      10153.8      137715.      860.734
      10156.5      141116.      1538.98
      10159.3      143049.      2639.57
      10162.1      141073.      821.979
      10164.8      139100.      1505.24
      10167.6      141376.      1718.18
      10170.3      145691.      4422.33
      10173.1      143650.      1316.98
      10175.9      141074.      1125.81
      10178.6      141460.      1394.09
      10181.4      143006.      1622.33
      10184.2      141058.      1935.51
      10186.9      141438.      2477.11
      10189.7      145061.      2622.36
      10192.4      145166.      1341.67
      10195.2      144544.      1305.21
      10198.0      143933.      1499.18
      10200.7      145272.      1263.65
      10203.5      144280.      2645.47
      10206.3      143372.      2425.78
      10209.0      141331.      1268.15
      10211.8      140006.      964.287
      10214.6      137255.      2930.19
      10217.3      140442.      3808.67
      10220.1      137311.      2140.12
      10222.8      141301.      2954.85
      10225.6      139044.      1924.42
      10228.4      143604.      1512.90
      10231.1      142571.      835.148
      10233.9      142729.      357.926
      10236.7      142617.      683.108
      10239.4      146713.      2639.05
      10242.2      144792.      2222.41
      10245.0      144300.      3240.23
      10247.7      145291.      3430.98
      10250.5      138837.      719.300
      10253.2      138089.      1922.44
      10256.0      138707.      1263.15
      10258.8      135922.      1546.10
      10261.5      136713.      2361.52
      10264.3      135905.      1708.03
      10267.1      134464.      1732.67
      10269.8      134467.      1704.97
      10272.6      132886.      1980.16
      10275.3      138266.      559.934
      10278.1      140285.      1297.97
      10280.9      136726.      1987.54
      10283.6      136726.      2860.98
      10286.4      140671.      3280.21
      10289.2      142168.      2181.59
      10291.9      138411.      2108.87
      10294.7      139655.      1789.96
      10297.5      141613.      2288.82
      10300.2      144670.      1459.21
      10303.0      142754.      2638.14
      10305.7      143073.      1480.81
      10308.5      143508.      2020.29
      10311.3      142082.      985.549
      10314.0      139680.      1163.21
      10316.8      140087.      974.297
      10319.6      144754.      3326.41
      10322.3      144281.      4104.52
      10325.1      145172.      2856.40
      10327.9      146670.      2448.97
      10330.6      148118.      2246.32
      10333.4      144963.      1962.67
      10336.1      145359.      3084.54
      10338.9      143546.      1770.15
      10341.7      139835.      1685.63
      10344.4      139648.      1494.01
      10347.2      140673.      2969.58
      10350.0      141021.      1791.07
      10352.7      144474.      3003.86
      10355.5      144481.      2623.62
      10358.2      146290.      434.946
      10361.0      149622.      2327.56
      10363.8      146871.      3035.65
      10366.5      148750.      1722.52
      10369.3      150668.      1606.23
