#Spectrum of PZTelB from Maire et al. 2016
#Distance assumed: 51.49 +/-2.47 pc (Hipparcos).
#Flux-calibrared using the H-band mag reported in Bejar et al. 2008
#Resolving power: 50
#Wavelength [microns] Flux at 10 pc [W.m-2.microns-1]	Flux error [W.m-2.microns-1]
     0.923000  4.89133e-14  2.34762e-11
     0.923100  5.35879e-14  2.33443e-11
     0.923200  5.82597e-14  2.32124e-11
     0.923300  6.29343e-14  2.30805e-11
     0.923400  6.76090e-14  2.29486e-11
     0.923500  7.22835e-14  2.28167e-11
     0.923600  7.69554e-14  2.26849e-11
     0.923700  8.16300e-14  2.25530e-11
     0.923800  8.63046e-14  2.24211e-11
     0.923900  9.09764e-14  2.22892e-11
     0.924000  9.56511e-14  2.21573e-11
     0.924100  1.00326e-13  2.20254e-11
     0.924200  1.05000e-13  2.18935e-11
     0.924300  1.09672e-13  2.17617e-11
     0.924400  1.14347e-13  2.16298e-11
     0.924500  1.19021e-13  2.14979e-11
     0.924600  1.23696e-13  2.13660e-11
     0.924700  1.28368e-13  2.12341e-11
     0.924800  1.33042e-13  2.11022e-11
     0.924900  1.37717e-13  2.09703e-11
     0.925000  1.42389e-13  2.08385e-11
     0.925100  1.47063e-13  2.07066e-11
     0.925200  1.51738e-13  2.05747e-11
     0.925300  1.56413e-13  2.04428e-11
     0.925400  1.61084e-13  2.03109e-11
     0.925500  1.65759e-13  2.01790e-11
     0.925600  1.70434e-13  2.00471e-11
     0.925700  1.75106e-13  1.99153e-11
     0.925800  1.79780e-13  1.97834e-11
     0.925900  1.84455e-13  1.96515e-11
     0.926000  1.89129e-13  1.95196e-11
     0.926100  1.93801e-13  1.93877e-11
     0.926200  1.98476e-13  1.92558e-11
     0.926300  2.03150e-13  1.91239e-11
     0.926400  2.07822e-13  1.89921e-11
     0.926500  2.12497e-13  1.88602e-11
     0.926600  2.17171e-13  1.87283e-11
     0.926700  2.21846e-13  1.85964e-11
     0.926800  2.26518e-13  1.84645e-11
     0.926900  2.31193e-13  1.83326e-11
     0.927000  2.35867e-13  1.82007e-11
     0.927100  2.40542e-13  1.80688e-11
     0.927200  2.45214e-13  1.79370e-11
     0.927300  2.49888e-13  1.78051e-11
     0.927400  2.54563e-13  1.76732e-11
     0.927500  2.59235e-13  1.75413e-11
     0.927600  2.63909e-13  1.74094e-11
     0.927700  2.68584e-13  1.72775e-11
     0.927800  2.73258e-13  1.71456e-11
     0.927900  2.77930e-13  1.70138e-11
     0.928000  2.82605e-13  1.68819e-11
     0.928100  2.87280e-13  1.67500e-11
     0.928200  2.91951e-13  1.66182e-11
     0.928300  2.96626e-13  1.64862e-11
     0.928400  3.01301e-13  1.63543e-11
     0.928500  3.05975e-13  1.62224e-11
     0.928600  3.10647e-13  1.60906e-11
     0.928700  3.15322e-13  1.59587e-11
     0.928800  3.19996e-13  1.58268e-11
     0.928900  3.24671e-13  1.56949e-11
     0.929000  3.29343e-13  1.55631e-11
     0.929100  3.34017e-13  1.54311e-11
     0.929200  3.38692e-13  1.52992e-11
     0.929300  3.43364e-13  1.51674e-11
     0.929400  3.48038e-13  1.50355e-11
     0.929500  3.52713e-13  1.49036e-11
     0.929600  3.57388e-13  1.47717e-11
     0.929700  3.62059e-13  1.46399e-11
     0.929800  3.66734e-13  1.45080e-11
     0.929900  3.71409e-13  1.43761e-11
     0.930000  3.76080e-13  1.42442e-11
     0.930100  3.80755e-13  1.41123e-11
     0.930200  3.85430e-13  1.39804e-11
     0.930300  3.90104e-13  1.38485e-11
     0.930400  3.94776e-13  1.37167e-11
     0.930500  3.99451e-13  1.35848e-11
     0.930600  4.04125e-13  1.34529e-11
     0.930700  4.08800e-13  1.33210e-11
     0.930800  4.13472e-13  1.31891e-11
     0.930900  4.18146e-13  1.30572e-11
     0.931000  4.22821e-13  1.29253e-11
     0.931100  4.27493e-13  1.27935e-11
     0.931200  4.32167e-13  1.26616e-11
     0.931300  4.36842e-13  1.25297e-11
     0.931400  4.41517e-13  1.23978e-11
     0.931500  4.46188e-13  1.22660e-11
     0.931600  4.50863e-13  1.21340e-11
     0.931700  4.55538e-13  1.20021e-11
     0.931800  4.60210e-13  1.18703e-11
     0.931900  4.64884e-13  1.17384e-11
     0.932000  4.69559e-13  1.16065e-11
     0.932100  4.74233e-13  1.14746e-11
     0.932200  4.78905e-13  1.13428e-11
     0.932300  4.83580e-13  1.12109e-11
     0.932400  4.88254e-13  1.10790e-11
     0.932500  4.92929e-13  1.09471e-11
     0.932600  4.97601e-13  1.08152e-11
     0.932700  5.02275e-13  1.06833e-11
     0.932800  5.06950e-13  1.05514e-11
     0.932900  5.11622e-13  1.04196e-11
     0.933000  5.16296e-13  1.02877e-11
     0.933100  5.20971e-13  1.01558e-11
     0.933200  5.25646e-13  1.00239e-11
     0.933300  5.30318e-13  9.89206e-12
     0.933400  5.34992e-13  9.76016e-12
     0.933500  5.39667e-13  9.62826e-12
     0.933600  5.44339e-13  9.49643e-12
     0.933700  5.49013e-13  9.36453e-12
     0.933800  5.53688e-13  9.23263e-12
